vertical,model,date,yhat
eldercare,Seasonal naive,2026-07,42.0
eldercare,Seasonal naive,2026-08,43.0
eldercare,Seasonal naive,2026-09,45.7
eldercare,Seasonal naive,2026-10,42.0
eldercare,Seasonal naive,2026-11,45.0
eldercare,Seasonal naive,2026-12,47.0
eldercare,Seasonal naive,2027-01,43.7
eldercare,Seasonal naive,2027-02,43.7
eldercare,Seasonal naive,2027-03,48.0
eldercare,Seasonal naive,2027-04,45.0
eldercare,Seasonal naive,2027-05,41.3
eldercare,Seasonal naive,2027-06,42.7
eldercare,Seasonal naive,2027-07,42.0
eldercare,Seasonal naive,2027-08,43.0
eldercare,Seasonal naive,2027-09,45.7
eldercare,Seasonal naive,2027-10,42.0
eldercare,Seasonal naive,2027-11,45.0
eldercare,Seasonal naive,2027-12,47.0
eldercare,Seasonal naive,2028-01,43.7
eldercare,Seasonal naive,2028-02,43.7
eldercare,Seasonal naive,2028-03,48.0
eldercare,Seasonal naive,2028-04,45.0
eldercare,Seasonal naive,2028-05,41.3
eldercare,Seasonal naive,2028-06,42.7
eldercare,ETS,2026-07,45.98
eldercare,ETS,2026-08,45.66
eldercare,ETS,2026-09,46.66
eldercare,ETS,2026-10,46.18
eldercare,ETS,2026-11,46.76
eldercare,ETS,2026-12,46.72
eldercare,ETS,2027-01,46.56
eldercare,ETS,2027-02,47.52
eldercare,ETS,2027-03,48.16
eldercare,ETS,2027-04,48.96
eldercare,ETS,2027-05,46.36
eldercare,ETS,2027-06,46.72
eldercare,ETS,2027-07,48.66
eldercare,ETS,2027-08,48.34
eldercare,ETS,2027-09,49.34
eldercare,ETS,2027-10,48.86
eldercare,ETS,2027-11,49.44
eldercare,ETS,2027-12,49.4
eldercare,ETS,2028-01,49.24
eldercare,ETS,2028-02,50.2
eldercare,ETS,2028-03,50.84
eldercare,ETS,2028-04,51.64
eldercare,ETS,2028-05,49.04
eldercare,ETS,2028-06,49.4
eldercare,ARIMA,2026-07,43.82
eldercare,ARIMA,2026-08,43.55
eldercare,ARIMA,2026-09,43.53
eldercare,ARIMA,2026-10,43.58
eldercare,ARIMA,2026-11,43.56
eldercare,ARIMA,2026-12,43.56
eldercare,ARIMA,2027-01,43.56
eldercare,ARIMA,2027-02,43.56
eldercare,ARIMA,2027-03,43.56
eldercare,ARIMA,2027-04,43.56
eldercare,ARIMA,2027-05,43.56
eldercare,ARIMA,2027-06,43.56
eldercare,ARIMA,2027-07,43.56
eldercare,ARIMA,2027-08,43.56
eldercare,ARIMA,2027-09,43.56
eldercare,ARIMA,2027-10,43.56
eldercare,ARIMA,2027-11,43.56
eldercare,ARIMA,2027-12,43.56
eldercare,ARIMA,2028-01,43.56
eldercare,ARIMA,2028-02,43.56
eldercare,ARIMA,2028-03,43.56
eldercare,ARIMA,2028-04,43.56
eldercare,ARIMA,2028-05,43.56
eldercare,ARIMA,2028-06,43.56
eldercare,Prophet,2026-07,46.31
eldercare,Prophet,2026-08,45.17
eldercare,Prophet,2026-09,46.76
eldercare,Prophet,2026-10,45.72
eldercare,Prophet,2026-11,47.44
eldercare,Prophet,2026-12,46.99
eldercare,Prophet,2027-01,45.75
eldercare,Prophet,2027-02,46.96
eldercare,Prophet,2027-03,50.64
eldercare,Prophet,2027-04,48.22
eldercare,Prophet,2027-05,45.58
eldercare,Prophet,2027-06,46.94
eldercare,Prophet,2027-07,49.56
eldercare,Prophet,2027-08,47.06
eldercare,Prophet,2027-09,49.65
eldercare,Prophet,2027-10,47.69
eldercare,Prophet,2027-11,51.3
eldercare,Prophet,2027-12,50.11
eldercare,Prophet,2028-01,47.1
eldercare,Prophet,2028-02,48.8
eldercare,Prophet,2028-03,47.92
eldercare,Prophet,2028-04,52.36
eldercare,Prophet,2028-05,49.85
eldercare,Prophet,2028-06,49.07
eldercare,XGBoost,2026-07,42.51
eldercare,XGBoost,2026-08,43.63
eldercare,XGBoost,2026-09,43.85
eldercare,XGBoost,2026-10,43.68
eldercare,XGBoost,2026-11,44.64
eldercare,XGBoost,2026-12,44.15
eldercare,XGBoost,2027-01,44.12
eldercare,XGBoost,2027-02,44.85
eldercare,XGBoost,2027-03,44.85
eldercare,XGBoost,2027-04,43.91
eldercare,XGBoost,2027-05,42.19
eldercare,XGBoost,2027-06,42.74
eldercare,XGBoost,2027-07,42.08
eldercare,XGBoost,2027-08,43.44
eldercare,XGBoost,2027-09,43.84
eldercare,XGBoost,2027-10,43.49
eldercare,XGBoost,2027-11,44.46
eldercare,XGBoost,2027-12,44.15
eldercare,XGBoost,2028-01,44.45
eldercare,XGBoost,2028-02,44.79
eldercare,XGBoost,2028-03,44.53
eldercare,XGBoost,2028-04,44.69
eldercare,XGBoost,2028-05,42.62
eldercare,XGBoost,2028-06,42.63
