vertical,feature,importance
eldercare,trend,0.5628
eldercare,lag_6,0.1633
eldercare,month_cos,0.0634
eldercare,news_volume,0.0405
eldercare,roll_mean_3,0.0336
eldercare,month,0.0257
eldercare,lag_2,0.0203
eldercare,momentum_3,0.0167
eldercare,lag_3,0.0167
eldercare,roll_mean_6,0.0166
eldercare,lag_12,0.0112
eldercare,lag_1,0.0095
eldercare,month_sin,0.0092
eldercare,momentum_12,0.0067
eldercare,news_tone,0.0038
eldercare,news_available,0.0
eldercare,funding_intensity,0.0
education,trend,0.2493
education,news_tone,0.1741
education,lag_6,0.1
education,lag_3,0.0691
education,month,0.0684
education,lag_2,0.0547
education,month_sin,0.0507
education,momentum_12,0.0499
education,roll_mean_3,0.0465
education,lag_1,0.0436
education,roll_mean_6,0.0344
education,momentum_3,0.0256
education,month_cos,0.016
education,lag_12,0.0095
education,news_volume,0.0064
education,news_available,0.0018
education,funding_intensity,0.0
indoor_security,trend,0.2778
indoor_security,roll_mean_3,0.1409
indoor_security,news_available,0.1402
indoor_security,roll_mean_6,0.0674
indoor_security,lag_6,0.0621
indoor_security,momentum_3,0.0605
indoor_security,month_sin,0.0579
indoor_security,news_tone,0.0332
indoor_security,momentum_12,0.0301
indoor_security,news_volume,0.0283
indoor_security,month,0.0279
indoor_security,lag_2,0.0203
indoor_security,lag_3,0.0188
indoor_security,lag_1,0.0139
indoor_security,lag_12,0.0118
indoor_security,month_cos,0.0089
indoor_security,funding_intensity,0.0
outdoor_patrol,trend,0.4522
outdoor_patrol,lag_2,0.103
outdoor_patrol,news_available,0.0985
outdoor_patrol,roll_mean_6,0.0966
outdoor_patrol,month,0.0778
outdoor_patrol,lag_6,0.054
outdoor_patrol,month_cos,0.0416
outdoor_patrol,roll_mean_3,0.0166
outdoor_patrol,lag_12,0.0101
outdoor_patrol,momentum_3,0.0083
outdoor_patrol,month_sin,0.0078
outdoor_patrol,news_tone,0.0076
outdoor_patrol,lag_1,0.0069
outdoor_patrol,momentum_12,0.0068
outdoor_patrol,news_volume,0.0063
outdoor_patrol,lag_3,0.006
outdoor_patrol,funding_intensity,0.0
humanoid,roll_mean_6,0.5063
humanoid,trend,0.1354
humanoid,roll_mean_3,0.1133
humanoid,momentum_3,0.0462
humanoid,lag_12,0.0449
humanoid,month_cos,0.0344
humanoid,lag_1,0.0243
humanoid,lag_2,0.0168
humanoid,momentum_12,0.0167
humanoid,month_sin,0.0149
humanoid,month,0.0141
humanoid,news_tone,0.0108
humanoid,lag_6,0.0107
humanoid,lag_3,0.0064
humanoid,news_volume,0.005
humanoid,news_available,0.0
humanoid,funding_intensity,0.0
