dataset,model,recall,precision
NAB machine_temperature,Isolation Forest,1.0,0.1103
NAB machine_temperature,Isolation Forest,1.0,0.1108
NAB machine_temperature,Isolation Forest,1.0,0.1114
NAB machine_temperature,Isolation Forest,1.0,0.1119
NAB machine_temperature,Isolation Forest,1.0,0.1125
NAB machine_temperature,Isolation Forest,1.0,0.1131
NAB machine_temperature,Isolation Forest,1.0,0.1137
NAB machine_temperature,Isolation Forest,1.0,0.1143
NAB machine_temperature,Isolation Forest,1.0,0.1149
NAB machine_temperature,Isolation Forest,1.0,0.1155
NAB machine_temperature,Isolation Forest,1.0,0.1161
NAB machine_temperature,Isolation Forest,1.0,0.1167
NAB machine_temperature,Isolation Forest,1.0,0.1173
NAB machine_temperature,Isolation Forest,1.0,0.118
NAB machine_temperature,Isolation Forest,1.0,0.1186
NAB machine_temperature,Isolation Forest,1.0,0.1192
NAB machine_temperature,Isolation Forest,1.0,0.1199
NAB machine_temperature,Isolation Forest,1.0,0.1205
NAB machine_temperature,Isolation Forest,1.0,0.1212
NAB machine_temperature,Isolation Forest,1.0,0.1219
NAB machine_temperature,Isolation Forest,1.0,0.1226
NAB machine_temperature,Isolation Forest,1.0,0.1232
NAB machine_temperature,Isolation Forest,1.0,0.1239
NAB machine_temperature,Isolation Forest,1.0,0.1246
NAB machine_temperature,Isolation Forest,1.0,0.1254
NAB machine_temperature,Isolation Forest,1.0,0.1261
NAB machine_temperature,Isolation Forest,1.0,0.1268
NAB machine_temperature,Isolation Forest,1.0,0.1275
NAB machine_temperature,Isolation Forest,1.0,0.1283
NAB machine_temperature,Isolation Forest,1.0,0.129
NAB machine_temperature,Isolation Forest,1.0,0.1298
NAB machine_temperature,Isolation Forest,1.0,0.1306
NAB machine_temperature,Isolation Forest,1.0,0.1313
NAB machine_temperature,Isolation Forest,1.0,0.1321
NAB machine_temperature,Isolation Forest,1.0,0.1329
NAB machine_temperature,Isolation Forest,1.0,0.1338
NAB machine_temperature,Isolation Forest,1.0,0.1346
NAB machine_temperature,Isolation Forest,1.0,0.1354
NAB machine_temperature,Isolation Forest,1.0,0.1362
NAB machine_temperature,Isolation Forest,1.0,0.1371
NAB machine_temperature,Isolation Forest,0.9991,0.1378
NAB machine_temperature,Isolation Forest,0.9991,0.1387
NAB machine_temperature,Isolation Forest,0.9991,0.1396
NAB machine_temperature,Isolation Forest,0.9991,0.1405
NAB machine_temperature,Isolation Forest,0.9991,0.1414
NAB machine_temperature,Isolation Forest,0.9991,0.1423
NAB machine_temperature,Isolation Forest,0.9987,0.1432
NAB machine_temperature,Isolation Forest,0.9987,0.1441
NAB machine_temperature,Isolation Forest,0.9982,0.145
NAB machine_temperature,Isolation Forest,0.9982,0.146
NAB machine_temperature,Isolation Forest,0.9978,0.1469
NAB machine_temperature,Isolation Forest,0.9978,0.1479
NAB machine_temperature,Isolation Forest,0.9974,0.1488
NAB machine_temperature,Isolation Forest,0.9974,0.1498
NAB machine_temperature,Isolation Forest,0.9974,0.1508
NAB machine_temperature,Isolation Forest,0.9974,0.1519
NAB machine_temperature,Isolation Forest,0.9969,0.1529
NAB machine_temperature,Isolation Forest,0.9965,0.1539
NAB machine_temperature,Isolation Forest,0.9965,0.155
NAB machine_temperature,Isolation Forest,0.9956,0.1559
NAB machine_temperature,Isolation Forest,0.9956,0.1571
NAB machine_temperature,Isolation Forest,0.9951,0.1581
NAB machine_temperature,Isolation Forest,0.9938,0.1591
NAB machine_temperature,Isolation Forest,0.9938,0.1602
NAB machine_temperature,Isolation Forest,0.9938,0.1614
NAB machine_temperature,Isolation Forest,0.9925,0.1624
NAB machine_temperature,Isolation Forest,0.9921,0.1635
NAB machine_temperature,Isolation Forest,0.9912,0.1646
NAB machine_temperature,Isolation Forest,0.9899,0.1657
NAB machine_temperature,Isolation Forest,0.9894,0.1669
NAB machine_temperature,Isolation Forest,0.9885,0.168
NAB machine_temperature,Isolation Forest,0.9877,0.1692
NAB machine_temperature,Isolation Forest,0.9863,0.1703
NAB machine_temperature,Isolation Forest,0.985,0.1714
NAB machine_temperature,Isolation Forest,0.9841,0.1726
NAB machine_temperature,Isolation Forest,0.9828,0.1737
NAB machine_temperature,Isolation Forest,0.981,0.1748
NAB machine_temperature,Isolation Forest,0.9793,0.1759
NAB machine_temperature,Isolation Forest,0.978,0.1772
NAB machine_temperature,Isolation Forest,0.9766,0.1784
NAB machine_temperature,Isolation Forest,0.9757,0.1797
NAB machine_temperature,Isolation Forest,0.974,0.1809
NAB machine_temperature,Isolation Forest,0.9727,0.1822
NAB machine_temperature,Isolation Forest,0.97,0.1833
NAB machine_temperature,Isolation Forest,0.9683,0.1845
NAB machine_temperature,Isolation Forest,0.966,0.1857
NAB machine_temperature,Isolation Forest,0.9656,0.1873
NAB machine_temperature,Isolation Forest,0.9634,0.1885
NAB machine_temperature,Isolation Forest,0.9612,0.1898
NAB machine_temperature,Isolation Forest,0.9594,0.1912
NAB machine_temperature,Isolation Forest,0.9572,0.1925
NAB machine_temperature,Isolation Forest,0.9546,0.1937
NAB machine_temperature,Isolation Forest,0.9533,0.1952
NAB machine_temperature,Isolation Forest,0.9528,0.197
NAB machine_temperature,Isolation Forest,0.9497,0.1982
NAB machine_temperature,Isolation Forest,0.9475,0.1996
NAB machine_temperature,Isolation Forest,0.944,0.2008
NAB machine_temperature,Isolation Forest,0.9392,0.2017
NAB machine_temperature,Isolation Forest,0.9387,0.2037
NAB machine_temperature,Isolation Forest,0.9361,0.2051
NAB machine_temperature,Isolation Forest,0.9339,0.2067
NAB machine_temperature,Isolation Forest,0.9325,0.2085
NAB machine_temperature,Isolation Forest,0.9281,0.2096
NAB machine_temperature,Isolation Forest,0.9255,0.2112
NAB machine_temperature,Isolation Forest,0.9228,0.2128
NAB machine_temperature,Isolation Forest,0.9206,0.2145
NAB machine_temperature,Isolation Forest,0.9189,0.2164
NAB machine_temperature,Isolation Forest,0.9175,0.2185
NAB machine_temperature,Isolation Forest,0.9167,0.2207
NAB machine_temperature,Isolation Forest,0.9136,0.2224
NAB machine_temperature,Isolation Forest,0.9123,0.2245
NAB machine_temperature,Isolation Forest,0.9083,0.2261
NAB machine_temperature,Isolation Forest,0.9065,0.2282
NAB machine_temperature,Isolation Forest,0.9052,0.2305
NAB machine_temperature,Isolation Forest,0.9039,0.2329
NAB machine_temperature,Isolation Forest,0.9026,0.2354
NAB machine_temperature,Isolation Forest,0.9008,0.2377
NAB machine_temperature,Isolation Forest,0.8968,0.2396
NAB machine_temperature,Isolation Forest,0.8929,0.2415
NAB machine_temperature,Isolation Forest,0.8902,0.2438
NAB machine_temperature,Isolation Forest,0.8876,0.2461
NAB machine_temperature,Isolation Forest,0.8867,0.2491
NAB machine_temperature,Isolation Forest,0.8854,0.2519
NAB machine_temperature,Isolation Forest,0.8827,0.2545
NAB machine_temperature,Isolation Forest,0.8801,0.2571
NAB machine_temperature,Isolation Forest,0.8765,0.2595
NAB machine_temperature,Isolation Forest,0.8743,0.2624
NAB machine_temperature,Isolation Forest,0.8721,0.2654
NAB machine_temperature,Isolation Forest,0.869,0.2681
NAB machine_temperature,Isolation Forest,0.8668,0.2713
NAB machine_temperature,Isolation Forest,0.8642,0.2744
NAB machine_temperature,Isolation Forest,0.8629,0.2779
NAB machine_temperature,Isolation Forest,0.8602,0.2812
NAB machine_temperature,Isolation Forest,0.8598,0.2853
NAB machine_temperature,Isolation Forest,0.8541,0.2878
NAB machine_temperature,Isolation Forest,0.851,0.2912
NAB machine_temperature,Isolation Forest,0.8474,0.2947
NAB machine_temperature,Isolation Forest,0.8461,0.299
NAB machine_temperature,Isolation Forest,0.843,0.3027
NAB machine_temperature,Isolation Forest,0.8413,0.3071
NAB machine_temperature,Isolation Forest,0.8399,0.3118
NAB machine_temperature,Isolation Forest,0.8355,0.3156
NAB machine_temperature,Isolation Forest,0.8302,0.319
NAB machine_temperature,Isolation Forest,0.8276,0.3237
NAB machine_temperature,Isolation Forest,0.8241,0.3281
NAB machine_temperature,Isolation Forest,0.8205,0.3328
NAB machine_temperature,Isolation Forest,0.8166,0.3375
NAB machine_temperature,Isolation Forest,0.8086,0.3406
NAB machine_temperature,Isolation Forest,0.8047,0.3456
NAB machine_temperature,Isolation Forest,0.7985,0.3497
NAB machine_temperature,Isolation Forest,0.795,0.3553
NAB machine_temperature,Isolation Forest,0.7901,0.3605
NAB machine_temperature,Isolation Forest,0.7844,0.3654
NAB machine_temperature,Isolation Forest,0.7769,0.3698
NAB machine_temperature,Isolation Forest,0.7685,0.3739
NAB machine_temperature,Isolation Forest,0.7632,0.3797
NAB machine_temperature,Isolation Forest,0.7575,0.3856
NAB machine_temperature,Isolation Forest,0.7509,0.3913
NAB machine_temperature,Isolation Forest,0.7469,0.3987
NAB machine_temperature,Isolation Forest,0.7403,0.405
NAB machine_temperature,Isolation Forest,0.731,0.4101
NAB machine_temperature,Isolation Forest,0.7244,0.4172
NAB machine_temperature,Isolation Forest,0.7178,0.4245
NAB machine_temperature,Isolation Forest,0.7086,0.4306
NAB machine_temperature,Isolation Forest,0.6989,0.4368
NAB machine_temperature,Isolation Forest,0.6883,0.4427
NAB machine_temperature,Isolation Forest,0.6786,0.4497
NAB machine_temperature,Isolation Forest,0.6706,0.4583
NAB machine_temperature,Isolation Forest,0.6636,0.468
NAB machine_temperature,Isolation Forest,0.6565,0.4783
NAB machine_temperature,Isolation Forest,0.6459,0.4869
NAB machine_temperature,Isolation Forest,0.6371,0.4972
NAB machine_temperature,Isolation Forest,0.6287,0.5087
NAB machine_temperature,Isolation Forest,0.6173,0.5185
NAB machine_temperature,Isolation Forest,0.6019,0.5256
NAB machine_temperature,Isolation Forest,0.5882,0.5351
NAB machine_temperature,Isolation Forest,0.5732,0.5439
NAB machine_temperature,Isolation Forest,0.5551,0.5507
NAB machine_temperature,Isolation Forest,0.5379,0.5591
NAB machine_temperature,Isolation Forest,0.5168,0.5637
NAB machine_temperature,Isolation Forest,0.4978,0.5719
NAB machine_temperature,Isolation Forest,0.4735,0.574
NAB machine_temperature,Isolation Forest,0.4528,0.5809
NAB machine_temperature,Isolation Forest,0.4264,0.5808
NAB machine_temperature,Isolation Forest,0.4048,0.5877
NAB machine_temperature,Isolation Forest,0.3774,0.5883
NAB machine_temperature,Isolation Forest,0.3501,0.5877
NAB machine_temperature,Isolation Forest,0.321,0.5838
NAB machine_temperature,Isolation Forest,0.2892,0.5749
NAB machine_temperature,Isolation Forest,0.2606,0.5699
NAB machine_temperature,Isolation Forest,0.2359,0.5734
