ticket_key,ticket_id,stage,team,enter_h,start_h,exit_h,wait_hours,service_hours,queue_len_on_entry,stage_hours
2754,TKT-002754,Intake,(automated),2.034330383394181,2.034330383394181,2.034330383394181,0.0,0.0,0,0.0
2754,TKT-002754,Triage,Tier 1,2.034330383394181,2.034330383394181,2.260830271870503,0.0,0.2265,0,0.2265
3035,TKT-003035,Intake,(automated),5.0035935190171354,5.0035935190171354,5.0035935190171354,0.0,0.0,0,0.0
3035,TKT-003035,Triage,Tier 1,5.0035935190171354,5.0035935190171354,5.556051342775272,0.0,0.5525,0,0.5525
3035,TKT-003035,Remote diagnosis,Tier 2,5.556051342775272,5.556051342775272,6.846055076059345,0.0,1.29,0,1.29
2754,TKT-002754,Remote diagnosis,Tier 2,2.260830271870503,2.260830271870503,7.08780770343299,0.0,4.827,0,4.827
3035,TKT-003035,Verification,Tier 1,6.846055076059345,6.846055076059345,7.401231627795427,0.0,0.5552,1,0.5552
3520,TKT-003520,Intake,(automated),7.445440713783688,7.445440713783688,7.445440713783688,0.0,0.0,0,0.0
2754,TKT-002754,Verification,Tier 1,7.08780770343299,7.401231627795427,8.101019254284704,0.3134,0.6998,1,1.0131999999999999
3520,TKT-003520,Triage,Tier 1,7.445440713783688,8.101019254284704,8.264803637891845,0.6556,0.1638,0,0.8193999999999999
3520,TKT-003520,Remote diagnosis,Tier 2,8.264803637891845,8.264803637891845,9.44845391167514,0.0,1.1837,0,1.1837
3520,TKT-003520,Verification,Tier 1,9.44845391167514,9.44845391167514,10.1122157519945,0.0,0.6638,0,0.6638
4816,TKT-004816,Intake,(automated),11.353734767557462,11.353734767557462,11.353734767557462,0.0,0.0,0,0.0
4218,TKT-004218,Intake,(automated),11.769936201814534,11.769936201814534,11.769936201814534,0.0,0.0,0,0.0
4816,TKT-004816,Triage,Tier 1,11.353734767557462,11.353734767557462,12.23157375749788,0.0,0.8778,1,0.8778
4218,TKT-004218,Triage,Tier 1,11.769936201814534,12.23157375749788,12.644416781635469,0.4616,0.4128,0,0.8744000000000001
4218,TKT-004218,Remote diagnosis,Tier 2,12.644416781635469,12.644416781635469,13.318737226758701,0.0,0.6743,0,0.6743
4816,TKT-004816,Remote diagnosis,Tier 2,12.23157375749788,12.23157375749788,13.531677563430756,0.0,1.3001,0,1.3001
4218,TKT-004218,Verification,Tier 1,13.318737226758701,13.318737226758701,13.817553352269064,0.0,0.4988,1,0.4988
41,TKT-000041,Intake,(automated),14.313014716537793,14.313014716537793,14.313014716537793,0.0,0.0,0,0.0
4816,TKT-004816,Verification,Tier 1,13.531677563430756,13.817553352269064,14.54856735394449,0.2859,0.731,1,1.0169
41,TKT-000041,Triage,Tier 1,14.313014716537793,14.54856735394449,14.928187789168389,0.2356,0.3796,0,0.6152
41,TKT-000041,Remote diagnosis,Tier 2,14.928187789168389,14.928187789168389,15.64101011553122,0.0,0.7128,0,0.7128
41,TKT-000041,Verification,Tier 1,15.64101011553122,15.64101011553122,16.070894359351083,0.0,0.4299,0,0.4299
2354,TKT-002354,Intake,(automated),18.811804111214396,18.811804111214396,18.811804111214396,0.0,0.0,0,0.0
2354,TKT-002354,Triage,Tier 1,18.811804111214396,18.811804111214396,19.097665879188472,0.0,0.2859,0,0.2859
2354,TKT-002354,Remote diagnosis,Tier 2,19.097665879188472,19.097665879188472,20.102774180613068,0.0,1.0051,0,1.0051
2354,TKT-002354,Verification,Tier 1,20.102774180613068,20.102774180613068,20.652196814419206,0.0,0.5494,0,0.5494
2116,TKT-002116,Intake,(automated),22.39338510121042,22.39338510121042,22.39338510121042,0.0,0.0,0,0.0
2116,TKT-002116,Triage,Tier 1,22.39338510121042,22.39338510121042,22.67846788758514,0.0,0.2851,0,0.2851
2116,TKT-002116,Remote diagnosis,Tier 2,22.67846788758514,22.67846788758514,29.361440970958895,0.0,6.683,0,6.683
2116,TKT-002116,Verification,Tier 1,29.361440970958895,29.361440970958895,30.830685798347716,0.0,1.4692,0,1.4692
4578,TKT-004578,Intake,(automated),39.81712820882281,39.81712820882281,39.81712820882281,0.0,0.0,0,0.0
4578,TKT-004578,Triage,Tier 1,39.81712820882281,39.81712820882281,40.25925909559892,0.0,0.4421,0,0.4421
4578,TKT-004578,Remote diagnosis,Tier 2,40.25925909559892,40.25925909559892,42.19955120899693,0.0,1.9403,0,1.9403
4578,TKT-004578,Verification,Tier 1,42.19955120899693,42.19955120899693,43.144208213105244,0.0,0.9447,0,0.9447
3869,TKT-003869,Intake,(automated),43.50487757175235,43.50487757175235,43.50487757175235,0.0,0.0,0,0.0
3869,TKT-003869,Triage,Tier 1,43.50487757175235,43.50487757175235,44.4122302058291,0.0,0.9074,0,0.9074
3582,TKT-003582,Intake,(automated),47.01690943120801,47.01690943120801,47.01690943120801,0.0,0.0,0,0.0
3582,TKT-003582,Triage,Tier 1,47.01690943120801,47.01690943120801,47.67422208499087,0.0,0.6573,0,0.6573
3869,TKT-003869,Remote diagnosis,Tier 2,44.4122302058291,44.4122302058291,47.77085528698904,0.0,3.3586,0,3.3586
2867,TKT-002867,Intake,(automated),48.23586323296368,48.23586323296368,48.23586323296368,0.0,0.0,0,0.0
