ticket_key,cycle_time_hours,ticket_id,severity,category,opened_date,product,region,country,week7_resolution_hours,is_resolved,weekday,dispatched,tier1_queue_on_entry
1,1.4531,TKT-000001,Critical,battery,2026-02-08,Senpai,APAC,Japan,9.21,True,Sunday,0,0
2,7.4637,TKT-000002,Low,battery,2025-04-23,Aido Rover,North America,United States,118.77,True,Wednesday,0,1
3,109.14980000000001,TKT-000003,Low,navigation,2026-03-05,Fari,North America,United States,102.08,True,Thursday,1,0
4,6.061,TKT-000004,Low,battery,2024-10-03,Fari,North America,United States,146.55,True,Thursday,0,1
5,3.8297,TKT-000005,High,connectivity,2026-05-24,Sentinel Prime AI,APAC,Japan,31.66,True,Sunday,0,1
6,22.089,TKT-000006,Low,navigation,2025-02-02,Aido Humanoid,North America,United States,58.42,True,Sunday,1,1
7,74.7053,TKT-000007,Medium,mechanical,2025-09-28,Aido Rover,APAC,Australia,72.55,True,Sunday,1,0
8,4.6284,TKT-000008,Medium,battery,2025-07-04,Aido Rover,North America,United States,12.99,True,Friday,0,0
9,7.601899999999999,TKT-000009,High,navigation,2025-03-04,Senpai,North America,United States,32.13,True,Tuesday,0,1
10,48.1751,TKT-000010,High,navigation,2026-04-09,Aido Humanoid,APAC,Japan,,False,Thursday,1,2
11,3.9188,TKT-000011,Medium,connectivity,2024-12-12,Senpai,APAC,Japan,57.26,True,Thursday,0,0
12,130.3782,TKT-000012,Medium,battery,2025-04-03,Fari,APAC,Japan,,False,Thursday,1,1
13,5.9262,TKT-000013,Medium,battery,2025-05-26,Aido Rover,Europe,United Kingdom,73.56,True,Monday,0,3
14,16.0493,TKT-000014,Medium,mechanical,2025-01-23,Senpai,Europe,United Kingdom,70.67,True,Thursday,1,0
15,4.5427,TKT-000015,Medium,connectivity,2025-07-18,Sentinel Prime AI,APAC,Australia,129.15,True,Friday,0,0
16,12.7081,TKT-000016,Low,software,2025-10-02,Senpai,North America,United States,123.36,True,Thursday,0,0
17,1.9876,TKT-000017,High,software,2024-10-12,Aido Rover,Europe,Germany,28.05,True,Saturday,0,0
18,5.8742,TKT-000018,Medium,software,2025-07-11,Sentinel Prime AI,North America,United States,23.36,True,Friday,0,0
19,7.4709,TKT-000019,High,connectivity,2024-12-14,Sentinel Prime AI,Europe,United Kingdom,14.21,True,Saturday,0,0
20,11.909600000000001,TKT-000020,Medium,battery,2025-02-19,Fari,North America,Canada,80.02,True,Wednesday,0,0
21,6.864400000000001,TKT-000021,Medium,connectivity,2024-07-28,Senpai,Europe,Germany,64.02,True,Sunday,0,0
22,5.529,TKT-000022,High,mechanical,2025-10-23,Aido Humanoid,North America,Canada,14.28,True,Thursday,0,1
23,4.315,TKT-000023,Medium,mechanical,2026-04-10,Sentinel Prime AI,Europe,Germany,76.54,True,Friday,0,2
24,11.192400000000003,TKT-000024,Low,navigation,2025-05-12,Aido Rover,Europe,Germany,49.0,True,Monday,0,0
25,77.8081,TKT-000025,Low,navigation,2025-09-05,Aido Humanoid,Europe,United Kingdom,162.66,True,Friday,1,0
26,3.1082,TKT-000026,Medium,connectivity,2024-11-23,Fari,North America,United States,77.19,True,Saturday,0,0
27,3.8147,TKT-000027,Medium,software,2024-08-27,Aido Humanoid,North America,United States,38.96,True,Tuesday,0,0
28,165.64839999999998,TKT-000028,Low,mechanical,2025-01-18,Aido Humanoid,APAC,Australia,118.31,True,Saturday,1,1
29,2.9373,TKT-000029,Critical,software,2024-08-14,Sentinel Prime AI,APAC,Japan,8.52,True,Wednesday,0,0
30,9.056000000000001,TKT-000030,Medium,connectivity,2026-02-05,Fari,Europe,Germany,51.21,True,Thursday,0,1
31,23.137,TKT-000031,High,mechanical,2024-11-28,Sentinel Prime AI,North America,United States,5.37,True,Thursday,1,0
32,11.539,TKT-000032,Medium,mechanical,2025-01-25,Aido Humanoid,North America,Canada,35.69,True,Saturday,0,2
33,5.2666,TKT-000033,Medium,software,2025-02-19,Aido Humanoid,North America,United States,72.62,True,Wednesday,0,0
34,75.49759999999999,TKT-000034,Medium,connectivity,2025-02-19,Senpai,Europe,Germany,82.08,True,Wednesday,0,0
35,6.6433,TKT-000035,Medium,software,2025-12-26,Fari,Europe,United Kingdom,60.75,True,Friday,0,0
36,7.0279,TKT-000036,Medium,software,2025-08-10,Fari,Europe,United Kingdom,81.53,True,Sunday,0,1
37,10.294799999999999,TKT-000037,Medium,software,2025-05-01,Aido Rover,North America,Canada,57.55,True,Thursday,0,1
38,6.1708,TKT-000038,Medium,navigation,2024-06-06,Fari,Europe,United Kingdom,61.55,True,Thursday,0,0
39,44.0897,TKT-000039,Medium,mechanical,2025-01-10,Aido Rover,North America,United States,50.95,True,Friday,1,1
