vertical,product,signal_type,date,value,source
eldercare,Fari,search_interest,2021-07,32.0,Google Trends (US)
eldercare,Fari,search_interest,2021-08,34.0,Google Trends (US)
eldercare,Fari,search_interest,2021-09,34.7,Google Trends (US)
eldercare,Fari,search_interest,2021-10,33.3,Google Trends (US)
eldercare,Fari,search_interest,2021-11,31.3,Google Trends (US)
eldercare,Fari,search_interest,2021-12,30.7,Google Trends (US)
eldercare,Fari,search_interest,2022-01,32.0,Google Trends (US)
eldercare,Fari,search_interest,2022-02,35.7,Google Trends (US)
eldercare,Fari,search_interest,2022-03,35.3,Google Trends (US)
eldercare,Fari,search_interest,2022-04,36.3,Google Trends (US)
eldercare,Fari,search_interest,2022-05,32.3,Google Trends (US)
eldercare,Fari,search_interest,2022-06,33.3,Google Trends (US)
eldercare,Fari,search_interest,2022-07,35.7,Google Trends (US)
eldercare,Fari,search_interest,2022-08,34.7,Google Trends (US)
eldercare,Fari,search_interest,2022-09,34.7,Google Trends (US)
eldercare,Fari,search_interest,2022-10,35.7,Google Trends (US)
eldercare,Fari,search_interest,2022-11,36.0,Google Trends (US)
eldercare,Fari,search_interest,2022-12,38.7,Google Trends (US)
eldercare,Fari,search_interest,2023-01,37.3,Google Trends (US)
eldercare,Fari,search_interest,2023-02,36.0,Google Trends (US)
eldercare,Fari,search_interest,2023-03,38.0,Google Trends (US)
eldercare,Fari,search_interest,2023-04,36.3,Google Trends (US)
eldercare,Fari,search_interest,2023-05,36.3,Google Trends (US)
eldercare,Fari,search_interest,2023-06,37.0,Google Trends (US)
eldercare,Fari,search_interest,2023-07,39.0,Google Trends (US)
eldercare,Fari,search_interest,2023-08,35.7,Google Trends (US)
eldercare,Fari,search_interest,2023-09,38.7,Google Trends (US)
eldercare,Fari,search_interest,2023-10,37.0,Google Trends (US)
eldercare,Fari,search_interest,2023-11,41.0,Google Trends (US)
eldercare,Fari,search_interest,2023-12,37.3,Google Trends (US)
eldercare,Fari,search_interest,2024-01,35.3,Google Trends (US)
eldercare,Fari,search_interest,2024-02,37.7,Google Trends (US)
eldercare,Fari,search_interest,2024-03,37.3,Google Trends (US)
eldercare,Fari,search_interest,2024-04,41.0,Google Trends (US)
eldercare,Fari,search_interest,2024-05,41.0,Google Trends (US)
eldercare,Fari,search_interest,2024-06,39.7,Google Trends (US)
eldercare,Fari,search_interest,2024-07,41.0,Google Trends (US)
eldercare,Fari,search_interest,2024-08,40.7,Google Trends (US)
eldercare,Fari,search_interest,2024-09,39.3,Google Trends (US)
eldercare,Fari,search_interest,2024-10,42.7,Google Trends (US)
eldercare,Fari,search_interest,2024-11,40.3,Google Trends (US)
eldercare,Fari,search_interest,2024-12,39.7,Google Trends (US)
eldercare,Fari,search_interest,2025-01,44.3,Google Trends (US)
eldercare,Fari,search_interest,2025-02,44.3,Google Trends (US)
eldercare,Fari,search_interest,2025-03,42.0,Google Trends (US)
eldercare,Fari,search_interest,2025-04,46.0,Google Trends (US)
eldercare,Fari,search_interest,2025-05,40.7,Google Trends (US)
eldercare,Fari,search_interest,2025-06,40.7,Google Trends (US)
eldercare,Fari,search_interest,2025-07,42.0,Google Trends (US)
eldercare,Fari,search_interest,2025-08,43.0,Google Trends (US)
eldercare,Fari,search_interest,2025-09,45.7,Google Trends (US)
eldercare,Fari,search_interest,2025-10,42.0,Google Trends (US)
eldercare,Fari,search_interest,2025-11,45.0,Google Trends (US)
eldercare,Fari,search_interest,2025-12,47.0,Google Trends (US)
eldercare,Fari,search_interest,2026-01,43.7,Google Trends (US)
eldercare,Fari,search_interest,2026-02,43.7,Google Trends (US)
eldercare,Fari,search_interest,2026-03,48.0,Google Trends (US)
eldercare,Fari,search_interest,2026-04,45.0,Google Trends (US)
eldercare,Fari,search_interest,2026-05,41.3,Google Trends (US)
eldercare,Fari,search_interest,2026-06,42.7,Google Trends (US)
education,Senpai,search_interest,2021-07,47.7,Google Trends (US)
education,Senpai,search_interest,2021-08,48.3,Google Trends (US)
education,Senpai,search_interest,2021-09,52.3,Google Trends (US)
education,Senpai,search_interest,2021-10,47.7,Google Trends (US)
education,Senpai,search_interest,2021-11,49.7,Google Trends (US)
education,Senpai,search_interest,2021-12,45.0,Google Trends (US)
education,Senpai,search_interest,2022-01,48.0,Google Trends (US)
education,Senpai,search_interest,2022-02,49.7,Google Trends (US)
education,Senpai,search_interest,2022-03,45.3,Google Trends (US)
education,Senpai,search_interest,2022-04,49.0,Google Trends (US)
education,Senpai,search_interest,2022-05,51.3,Google Trends (US)
education,Senpai,search_interest,2022-06,48.3,Google Trends (US)
education,Senpai,search_interest,2022-07,50.3,Google Trends (US)
education,Senpai,search_interest,2022-08,50.7,Google Trends (US)
education,Senpai,search_interest,2022-09,48.3,Google Trends (US)
education,Senpai,search_interest,2022-10,49.0,Google Trends (US)
education,Senpai,search_interest,2022-11,52.3,Google Trends (US)
education,Senpai,search_interest,2022-12,49.0,Google Trends (US)
education,Senpai,search_interest,2023-01,50.7,Google Trends (US)
education,Senpai,search_interest,2023-02,53.3,Google Trends (US)
education,Senpai,search_interest,2023-03,49.3,Google Trends (US)
education,Senpai,search_interest,2023-04,53.3,Google Trends (US)
education,Senpai,search_interest,2023-05,50.3,Google Trends (US)
education,Senpai,search_interest,2023-06,53.7,Google Trends (US)
education,Senpai,search_interest,2023-07,52.7,Google Trends (US)
education,Senpai,search_interest,2023-08,56.0,Google Trends (US)
education,Senpai,search_interest,2023-09,49.0,Google Trends (US)
education,Senpai,search_interest,2023-10,56.3,Google Trends (US)
education,Senpai,search_interest,2023-11,54.3,Google Trends (US)
education,Senpai,search_interest,2023-12,50.3,Google Trends (US)
education,Senpai,search_interest,2024-01,53.7,Google Trends (US)
education,Senpai,search_interest,2024-02,51.3,Google Trends (US)
education,Senpai,search_interest,2024-03,53.3,Google Trends (US)
education,Senpai,search_interest,2024-04,51.0,Google Trends (US)
education,Senpai,search_interest,2024-05,53.3,Google Trends (US)
education,Senpai,search_interest,2024-06,49.3,Google Trends (US)
education,Senpai,search_interest,2024-07,53.3,Google Trends (US)
education,Senpai,search_interest,2024-08,56.0,Google Trends (US)
education,Senpai,search_interest,2024-09,50.3,Google Trends (US)
education,Senpai,search_interest,2024-10,52.0,Google Trends (US)
education,Senpai,search_interest,2024-11,52.0,Google Trends (US)
education,Senpai,search_interest,2024-12,50.3,Google Trends (US)
education,Senpai,search_interest,2025-01,55.0,Google Trends (US)
education,Senpai,search_interest,2025-02,55.7,Google Trends (US)
education,Senpai,search_interest,2025-03,49.7,Google Trends (US)
education,Senpai,search_interest,2025-04,53.3,Google Trends (US)
education,Senpai,search_interest,2025-05,55.0,Google Trends (US)
education,Senpai,search_interest,2025-06,59.3,Google Trends (US)
education,Senpai,search_interest,2025-07,56.0,Google Trends (US)
education,Senpai,search_interest,2025-08,56.3,Google Trends (US)
education,Senpai,search_interest,2025-09,54.0,Google Trends (US)
education,Senpai,search_interest,2025-10,51.0,Google Trends (US)
education,Senpai,search_interest,2025-11,55.0,Google Trends (US)
education,Senpai,search_interest,2025-12,56.0,Google Trends (US)
education,Senpai,search_interest,2026-01,53.0,Google Trends (US)
