customer_key,customer_id,customer_name,segment,industry,geography_key,signup_date_key
1,CUST-000001,Gamble Inc,Mid-Market,Education,3,20240928
2,CUST-000002,Frye-Mejia,Mid-Market,Retail,7,20241029
3,CUST-000003,Banks and Sons,SMB,Education,10,20250104
4,CUST-000004,George-Salinas,Public Sector,Retail,8,20250417
5,CUST-000005,Casey-King,SMB,Healthcare,13,20240728
6,CUST-000006,"Hanson, Mitchell and Carroll",SMB,Healthcare,10,20250321
7,CUST-000007,Myers Inc,SMB,Manufacturing,1,20250124
8,CUST-000008,"Jackson, Garcia and Arnold",Mid-Market,Healthcare,10,20250325
9,CUST-000009,Lane-Blankenship,SMB,Healthcare,5,20240806
10,CUST-000010,"Hebert, Hernandez and Davis",Mid-Market,Government,9,20240614
11,CUST-000011,"Smith, Burke and Garrett",Mid-Market,Government,8,20250418
12,CUST-000012,Rosario LLC,SMB,Healthcare,7,20240901
13,CUST-000013,"Davis, Tucker and Jimenez",SMB,Manufacturing,5,20240627
14,CUST-000014,"Williams, Boyd and Powell",Public Sector,Logistics,3,20241211
15,CUST-000015,Stewart Group,SMB,Manufacturing,1,20240927
16,CUST-000016,"Austin, Bell and Cox",Public Sector,Manufacturing,1,20241127
17,CUST-000017,"Smith, Golden and Webb",Public Sector,Hospitality,7,20240928
18,CUST-000018,Wong-Flores,SMB,Education,7,20250403
19,CUST-000019,"Taylor, Snyder and Taylor",Enterprise,Healthcare,13,20250118
20,CUST-000020,"Smith, Ramos and Cole",SMB,Logistics,8,20250327
21,CUST-000021,Lewis and Sons,SMB,Logistics,7,20250319
22,CUST-000022,Friedman-Harper,SMB,Retail,6,20240618
23,CUST-000023,Orr and Sons,SMB,Hospitality,9,20240826
24,CUST-000024,Fisher Inc,SMB,Manufacturing,14,20241009
25,CUST-000025,Lee-Wade,SMB,Manufacturing,3,20241123
26,CUST-000026,Schultz-Donovan,Enterprise,Government,1,20240712
27,CUST-000027,"Johnson, Crawford and Werner",SMB,Government,4,20240716
28,CUST-000028,Wagner-Thomas,Public Sector,Logistics,12,20240717
29,CUST-000029,Moore Ltd,Enterprise,Government,8,20250225
30,CUST-000030,Velez and Sons,Enterprise,Manufacturing,4,20241224
31,CUST-000031,Singh-May,Mid-Market,Logistics,2,20241229
32,CUST-000032,"Gill, Perry and Carpenter",SMB,Education,6,20250226
33,CUST-000033,"Harrell, Gonzales and Miranda",Mid-Market,Government,1,20240618
34,CUST-000034,Rios-Landry,Public Sector,Retail,13,20250119
35,CUST-000035,Marshall Group,SMB,Logistics,11,20240808
36,CUST-000036,Watkins-Ramos,SMB,Education,3,20240624
37,CUST-000037,Mcdonald LLC,SMB,Manufacturing,8,20241112
38,CUST-000038,Jarvis Ltd,Mid-Market,Healthcare,4,20240612
39,CUST-000039,Eaton-Park,Mid-Market,Manufacturing,10,20240729
40,CUST-000040,Walters-Bailey,Public Sector,Education,2,20250102
41,CUST-000041,"Brooks, Callahan and Sanchez",Enterprise,Healthcare,7,20240907
42,CUST-000042,Good Group,SMB,Retail,11,20240803
43,CUST-000043,"Jones, Salazar and Martinez",Public Sector,Government,1,20250305
44,CUST-000044,Lewis Inc,Mid-Market,Healthcare,8,20250214
45,CUST-000045,Fleming-Scott,Enterprise,Government,4,20240819
46,CUST-000046,Moody and Sons,SMB,Government,4,20240912
47,CUST-000047,Cain-Hart,Mid-Market,Hospitality,11,20250205
48,CUST-000048,Wallace-Nguyen,Public Sector,Hospitality,5,20241230
49,CUST-000049,"Diaz, Bright and Taylor",Public Sector,Education,9,20241115
50,CUST-000050,Oconnor Ltd,Mid-Market,Hospitality,11,20250205
51,CUST-000051,Ramirez Inc,SMB,Government,1,20250124
52,CUST-000052,George-Olson,Enterprise,Retail,6,20250331
53,CUST-000053,"Baldwin, Caldwell and Hayes",SMB,Logistics,4,20250126
54,CUST-000054,Willis Ltd,SMB,Education,11,20250110
55,CUST-000055,"Rodriguez, Schultz and Choi",Public Sector,Government,10,20241117
56,CUST-000056,"Scott, Wilson and Short",SMB,Logistics,14,20250216
57,CUST-000057,"Rush, Murphy and Williams",Mid-Market,Hospitality,1,20241003
58,CUST-000058,Bentley Ltd,Mid-Market,Government,7,20250213
59,CUST-000059,"Christian, Mora and Phillips",Enterprise,Manufacturing,2,20250109
60,CUST-000060,Stevens-Smith,SMB,Education,4,20240617
61,CUST-000061,Garcia-Oliver,Mid-Market,Manufacturing,5,20240819
62,CUST-000062,Johnson-Silva,Enterprise,Manufacturing,3,20241101
63,CUST-000063,"Frost, Miller and Bowman",SMB,Manufacturing,1,20241219
64,CUST-000064,"Rice, Jones and Choi",Mid-Market,Logistics,1,20241204
65,CUST-000065,Newman-James,SMB,Retail,3,20240928
66,CUST-000066,"Mendoza, Hubbard and Haas",SMB,Hospitality,12,20240714
67,CUST-000067,Simon-Abbott,Mid-Market,Healthcare,7,20250403
68,CUST-000068,Taylor Group,Public Sector,Healthcare,10,20240603
69,CUST-000069,Glover-Mendez,SMB,Retail,12,20240717
70,CUST-000070,"Fernandez, King and Leonard",SMB,Government,14,20250216
71,CUST-000071,Gibson-Lynch,Enterprise,Government,3,20241206
72,CUST-000072,"Davis, Buckley and Carter",SMB,Retail,2,20241226
73,CUST-000073,Tucker LLC,SMB,Education,6,20241130
74,CUST-000074,"Jones, Tyler and Rowland",Enterprise,Education,13,20250422
75,CUST-000075,Harding and Sons,SMB,Hospitality,13,20241029
