date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend
20240601,2024-06-01,2024,2,6,June,1,6,Saturday,True
20240602,2024-06-02,2024,2,6,June,2,7,Sunday,True
20240603,2024-06-03,2024,2,6,June,3,1,Monday,False
20240604,2024-06-04,2024,2,6,June,4,2,Tuesday,False
20240605,2024-06-05,2024,2,6,June,5,3,Wednesday,False
20240606,2024-06-06,2024,2,6,June,6,4,Thursday,False
20240607,2024-06-07,2024,2,6,June,7,5,Friday,False
20240608,2024-06-08,2024,2,6,June,8,6,Saturday,True
20240609,2024-06-09,2024,2,6,June,9,7,Sunday,True
20240610,2024-06-10,2024,2,6,June,10,1,Monday,False
20240611,2024-06-11,2024,2,6,June,11,2,Tuesday,False
20240612,2024-06-12,2024,2,6,June,12,3,Wednesday,False
20240613,2024-06-13,2024,2,6,June,13,4,Thursday,False
20240614,2024-06-14,2024,2,6,June,14,5,Friday,False
20240615,2024-06-15,2024,2,6,June,15,6,Saturday,True
20240616,2024-06-16,2024,2,6,June,16,7,Sunday,True
20240617,2024-06-17,2024,2,6,June,17,1,Monday,False
20240618,2024-06-18,2024,2,6,June,18,2,Tuesday,False
20240619,2024-06-19,2024,2,6,June,19,3,Wednesday,False
20240620,2024-06-20,2024,2,6,June,20,4,Thursday,False
20240621,2024-06-21,2024,2,6,June,21,5,Friday,False
20240622,2024-06-22,2024,2,6,June,22,6,Saturday,True
20240623,2024-06-23,2024,2,6,June,23,7,Sunday,True
20240624,2024-06-24,2024,2,6,June,24,1,Monday,False
20240625,2024-06-25,2024,2,6,June,25,2,Tuesday,False
20240626,2024-06-26,2024,2,6,June,26,3,Wednesday,False
20240627,2024-06-27,2024,2,6,June,27,4,Thursday,False
20240628,2024-06-28,2024,2,6,June,28,5,Friday,False
20240629,2024-06-29,2024,2,6,June,29,6,Saturday,True
20240630,2024-06-30,2024,2,6,June,30,7,Sunday,True
20240701,2024-07-01,2024,3,7,July,1,1,Monday,False
20240702,2024-07-02,2024,3,7,July,2,2,Tuesday,False
20240703,2024-07-03,2024,3,7,July,3,3,Wednesday,False
20240704,2024-07-04,2024,3,7,July,4,4,Thursday,False
20240705,2024-07-05,2024,3,7,July,5,5,Friday,False
20240706,2024-07-06,2024,3,7,July,6,6,Saturday,True
20240707,2024-07-07,2024,3,7,July,7,7,Sunday,True
20240708,2024-07-08,2024,3,7,July,8,1,Monday,False
20240709,2024-07-09,2024,3,7,July,9,2,Tuesday,False
20240710,2024-07-10,2024,3,7,July,10,3,Wednesday,False
20240711,2024-07-11,2024,3,7,July,11,4,Thursday,False
20240712,2024-07-12,2024,3,7,July,12,5,Friday,False
20240713,2024-07-13,2024,3,7,July,13,6,Saturday,True
20240714,2024-07-14,2024,3,7,July,14,7,Sunday,True
20240715,2024-07-15,2024,3,7,July,15,1,Monday,False
20240716,2024-07-16,2024,3,7,July,16,2,Tuesday,False
