geography_key,country,region,state_province,city
1,United States,North America,California,Hensleyburgh
2,United States,North America,Texas,East Austin
3,United States,North America,New York,Carterberg
4,United States,North America,Illinois,New Monica
5,Canada,North America,Ontario,Shawnfort
6,Canada,North America,British Columbia,Port Lindaville
7,United Kingdom,Europe,England,New Alvinstad
8,United Kingdom,Europe,Scotland,North Brandy
9,Germany,Europe,Bavaria,Danielberg
10,Germany,Europe,Berlin,Santosside
11,Japan,APAC,Tokyo,West Lindafort
12,Japan,APAC,Osaka,South Marieview
13,Australia,APAC,New South Wales,West Marcfurt
14,Australia,APAC,Victoria,Raybury
