pipeline_key,created_date_key,closed_date_key,product_key,customer_key,geography_key,opportunity_id,stage,units,amount_usd,is_won,sales_cycle_days
1,20250529,,1,465,9,OPP-000001,Qualified,20,107894.97,False,
2,20250607,,4,975,7,OPP-000002,Lead,13,855744.63,False,
3,20250511,,2,508,9,OPP-000003,Negotiation,13,38758.51,False,
4,20260203,,3,496,13,OPP-000004,Qualified,23,990759.38,False,
5,20250213,,2,919,13,OPP-000005,Lead,14,47374.5,False,
6,20260516,,1,587,10,OPP-000006,Proposal,14,80115.78,False,
7,20250311,20250510,2,603,6,OPP-000007,Lost,24,81820.55,False,60
8,20241217,20250514,3,615,5,OPP-000008,Lost,4,169536.67,False,148
9,20251222,20260526,4,999,10,OPP-000009,Won,4,276106.64,True,155
10,20240820,20240916,1,477,5,OPP-000010,Won,4,20766.67,True,27
11,20240812,20250105,1,384,6,OPP-000011,Lost,3,16718.49,False,146
12,20250330,20250919,2,189,6,OPP-000012,Won,24,82084.53,True,173
13,20250406,,5,533,5,OPP-000013,Qualified,15,1643982.83,False,
14,20250905,20260122,2,653,6,OPP-000014,Won,16,51774.2,True,139
15,20251221,20260312,5,929,7,OPP-000015,Won,20,2188610.62,True,81
16,20250814,20251114,5,988,14,OPP-000016,Lost,3,352304.41,False,92
17,20250529,20250709,1,168,3,OPP-000017,Lost,10,55837.58,False,41
18,20251215,20260420,3,256,10,OPP-000018,Lost,18,795225.23,False,126
19,20250718,,1,976,7,OPP-000019,Proposal,10,52483.37,False,
20,20260401,20260522,4,872,8,OPP-000020,Lost,16,981853.71,False,51
21,20250831,,3,866,10,OPP-000021,Proposal,10,409962.22,False,
22,20241209,20250503,4,963,14,OPP-000022,Won,12,762349.77,True,145
23,20240813,20241107,4,870,11,OPP-000023,Won,4,267144.64,True,86
24,20250909,20251221,4,142,14,OPP-000024,Won,19,1272582.41,True,103
25,20260220,20260531,5,232,14,OPP-000025,Won,13,1442983.74,True,141
26,20250126,,3,792,1,OPP-000026,Negotiation,1,43306.86,False,
27,20240610,,5,203,4,OPP-000027,Qualified,11,1263188.42,False,
28,20250502,20250916,3,759,3,OPP-000028,Lost,10,420619.94,False,137
29,20250821,,3,584,4,OPP-000029,Proposal,14,562095.57,False,
30,20240716,,5,162,11,OPP-000030,Negotiation,14,1649686.24,False,
31,20251008,,2,958,3,OPP-000031,Lead,21,66318.53,False,
32,20241228,,3,473,5,OPP-000032,Qualified,2,81338.43,False,
33,20241222,20250111,4,267,2,OPP-000033,Won,23,1369935.59,True,20
34,20241107,20241227,1,105,1,OPP-000034,Won,7,40923.7,True,50
35,20251010,,3,73,6,OPP-000035,Negotiation,23,948499.12,False,
36,20241110,,5,832,3,OPP-000036,Proposal,8,931245.63,False,
37,20241022,20241211,2,966,8,OPP-000037,Lost,10,32226.06,False,50
38,20250817,20251125,2,63,1,OPP-000038,Won,2,6379.64,True,100
39,20260507,20260531,5,287,13,OPP-000039,Won,4,438217.57,True,154
40,20250501,20250625,5,329,5,OPP-000040,Lost,16,1676600.23,False,55
41,20250604,20250714,4,975,7,OPP-000041,Won,14,866838.95,True,40
42,20250208,20250326,2,966,8,OPP-000042,Won,15,51428.4,True,46
43,20251215,20260220,3,546,5,OPP-000043,Won,9,393964.82,True,67
44,20250725,20251101,3,479,11,OPP-000044,Lost,1,42650.02,False,99
45,20260402,20260531,5,516,6,OPP-000045,Lost,20,2171159.21,False,115
46,20260328,,4,819,1,OPP-000046,Qualified,12,804415.5,False,
47,20260312,20260531,3,818,14,OPP-000047,Lost,12,537384.68,False,98
48,20250627,20250719,5,113,9,OPP-000048,Lost,9,1031305.71,False,22
49,20251005,20251231,5,783,5,OPP-000049,Lost,8,819001.1,False,87
50,20250710,20250919,3,730,14,OPP-000050,Lost,7,307187.21,False,71
51,20250819,20250929,4,464,12,OPP-000051,Won,24,1647967.94,True,41
52,20240922,,5,599,11,OPP-000052,Lead,9,1037391.0,False,
53,20250318,,5,763,2,OPP-000053,Qualified,4,434900.03,False,
54,20250518,20250622,3,450,10,OPP-000054,Won,25,978883.76,True,35
55,20250812,,3,5,13,OPP-000055,Negotiation,1,44899.5,False,
56,20251031,20260429,2,405,5,OPP-000056,Won,25,79564.4,True,180
57,20251207,,3,741,2,OPP-000057,Qualified,25,1051229.22,False,
58,20250325,20250918,1,884,14,OPP-000058,Won,2,11486.38,True,177
59,20250531,20250803,2,434,14,OPP-000059,Won,12,38318.32,True,64
60,20240831,20241123,5,684,1,OPP-000060,Lost,4,422377.74,False,84
61,20250830,,2,896,3,OPP-000061,Negotiation,14,48762.94,False,
62,20260206,20260531,3,942,11,OPP-000062,Won,19,731635.73,True,122
63,20250324,20250625,5,907,13,OPP-000063,Won,25,2836628.62,True,93
64,20260513,,1,132,2,OPP-000064,Qualified,19,100111.66,False,
65,20250804,20251030,1,791,13,OPP-000065,Won,19,97956.48,True,87
66,20251121,20260325,5,983,12,OPP-000066,Lost,15,1715680.24,False,124
67,20251018,20260212,5,545,8,OPP-000067,Won,10,1140051.04,True,117
68,20260322,,5,443,2,OPP-000068,Lead,9,1050993.03,False,
69,20250524,20250722,2,920,14,OPP-000069,Won,9,30364.44,True,59
70,20260531,20260531,5,70,14,OPP-000070,Won,6,701401.75,True,144
71,20250402,,3,588,12,OPP-000071,Negotiation,13,558976.84,False,
72,20260427,20260531,2,829,9,OPP-000072,Lost,14,46074.01,False,82
73,20241220,20250524,5,255,7,OPP-000073,Won,20,2322363.38,True,155
74,20251207,20260304,1,606,10,OPP-000074,Won,8,46726.07,True,87
75,20241010,,1,410,11,OPP-000075,Qualified,18,98617.98,False,
76,20240616,20240918,1,935,7,OPP-000076,Won,14,72732.33,True,94
77,20260130,20260501,5,723,13,OPP-000077,Lost,22,2635047.66,False,91
78,20260418,20260531,5,362,5,OPP-000078,Lost,11,1209070.35,False,65
79,20241028,,4,397,4,OPP-000079,Qualified,16,1087401.92,False,
80,20250319,20250729,2,940,13,OPP-000080,Lost,9,29925.53,False,132
81,20250412,20250502,5,805,8,OPP-000081,Won,21,2502757.47,True,20
82,20250831,20260227,1,712,1,OPP-000082,Won,10,58834.12,True,180
83,20251125,,2,214,6,OPP-000083,Lead,25,78053.88,False,
84,20240816,,5,11,8,OPP-000084,Proposal,24,2655959.56,False,
85,20250530,,3,603,6,OPP-000085,Lead,18,721834.26,False,
86,20250825,20251208,2,956,1,OPP-000086,Lost,18,57753.48,False,105
87,20240911,20250120,3,619,14,OPP-000087,Won,12,535469.5,True,131
88,20250913,,2,38,4,OPP-000088,Lead,1,3122.82,False,
89,20241011,20241219,2,69,12,OPP-000089,Lost,16,55714.4,False,69
90,20250714,,2,107,1,OPP-000090,Proposal,21,63842.78,False,
91,20241118,,1,836,10,OPP-000091,Qualified,11,61648.11,False,
92,20240904,20241027,2,206,9,OPP-000092,Won,9,30808.51,True,53
93,20250326,,2,965,2,OPP-000093,Lead,12,37401.59,False,
94,20250110,,1,100,13,OPP-000094,Negotiation,2,11139.33,False,
95,20251222,,2,614,7,OPP-000095,Lead,25,78662.45,False,
96,20260201,,1,810,5,OPP-000096,Negotiation,9,47465.56,False,
97,20260314,20260531,1,964,9,OPP-000097,Won,7,41775.5,True,164
98,20241226,20250515,5,847,13,OPP-000098,Lost,8,849365.48,False,140
99,20260406,20260531,2,235,8,OPP-000099,Lost,11,37099.16,False,66
