ticket_key,opened_date_key,closed_date_key,product_key,customer_key,geography_key,ticket_id,severity,category,resolution_hours,is_resolved,csat_score
1,20260208,20260208,2,968,11,TKT-000001,Critical,battery,9.21,True,3
2,20250423,20250427,4,803,4,TKT-000002,Low,battery,118.77,True,5
3,20260305,20260309,1,320,3,TKT-000003,Low,navigation,102.08,True,5
4,20241003,20241009,1,187,2,TKT-000004,Low,battery,146.55,True,1
5,20260524,20260525,3,342,12,TKT-000005,High,connectivity,31.66,True,4
6,20250202,20250204,5,715,4,TKT-000006,Low,navigation,58.42,True,3
7,20250928,20251001,4,498,13,TKT-000007,Medium,mechanical,72.55,True,3
8,20250704,20250704,4,46,4,TKT-000008,Medium,battery,12.99,True,5
9,20250304,20250305,2,861,4,TKT-000009,High,navigation,32.13,True,5
10,20260409,,5,942,11,TKT-000010,High,navigation,,False,
11,20241212,20241214,2,877,12,TKT-000011,Medium,connectivity,57.26,True,3
12,20250403,,1,78,12,TKT-000012,Medium,battery,,False,
13,20250526,20250529,4,282,7,TKT-000013,Medium,battery,73.56,True,5
14,20250123,20250125,2,468,8,TKT-000014,Medium,mechanical,70.67,True,3
15,20250718,20250723,3,467,14,TKT-000015,Medium,connectivity,129.15,True,3
16,20251002,20251007,2,687,1,TKT-000016,Low,software,123.36,True,5
17,20241012,20241013,4,23,9,TKT-000017,High,software,28.05,True,4
18,20250711,20250711,3,110,3,TKT-000018,Medium,software,23.36,True,1
19,20241214,20241214,3,29,8,TKT-000019,High,connectivity,14.21,True,4
20,20250219,20250222,1,32,6,TKT-000020,Medium,battery,80.02,True,3
21,20240728,20240730,2,77,10,TKT-000021,Medium,connectivity,64.02,True,5
22,20251023,20251023,5,673,6,TKT-000022,High,mechanical,14.28,True,4
23,20260410,20260413,3,617,9,TKT-000023,Medium,mechanical,76.54,True,4
24,20250512,20250514,4,39,10,TKT-000024,Low,navigation,49.0,True,5
25,20250905,20250911,5,245,7,TKT-000025,Low,navigation,162.66,True,2
26,20241123,20241126,1,722,1,TKT-000026,Medium,connectivity,77.19,True,1
27,20240827,20240828,5,657,4,TKT-000027,Medium,software,38.96,True,5
28,20250118,20250122,5,216,14,TKT-000028,Low,mechanical,118.31,True,3
29,20240814,20240814,3,249,12,TKT-000029,Critical,software,8.52,True,3
30,20260205,20260207,1,729,9,TKT-000030,Medium,connectivity,51.21,True,4
31,20241128,20241128,3,644,1,TKT-000031,High,mechanical,5.37,True,1
32,20250125,20250126,5,362,5,TKT-000032,Medium,mechanical,35.69,True,3
33,20250219,20250222,5,485,1,TKT-000033,Medium,software,72.62,True,1
34,20250219,20250222,2,406,10,TKT-000034,Medium,connectivity,82.08,True,4
35,20251226,20251228,1,484,7,TKT-000035,Medium,software,60.75,True,4
36,20250810,20250813,1,497,8,TKT-000036,Medium,software,81.53,True,4
37,20250501,20250503,4,512,5,TKT-000037,Medium,software,57.55,True,3
38,20240606,20240608,1,378,8,TKT-000038,Medium,navigation,61.55,True,5
39,20250110,20250112,4,157,2,TKT-000039,Medium,mechanical,50.95,True,2
40,20251127,20251127,2,912,6,TKT-000040,Critical,battery,5.21,True,4
41,20240601,20240603,4,266,5,TKT-000041,Medium,software,67.28,True,1
42,20250130,20250131,1,911,10,TKT-000042,Medium,navigation,25.28,True,4
43,20240910,20240911,5,393,1,TKT-000043,High,battery,36.87,True,4
44,20250215,,4,483,7,TKT-000044,Low,mechanical,,False,
45,20241212,20241213,3,514,3,TKT-000045,Medium,mechanical,34.83,True,5
46,20260520,,5,784,13,TKT-000046,Low,software,,False,
47,20250317,20250318,5,959,3,TKT-000047,Medium,connectivity,31.68,True,4
48,20250517,20250517,5,470,10,TKT-000048,High,battery,10.09,True,3
49,20250916,20250916,2,707,4,TKT-000049,High,navigation,11.71,True,4
50,20250901,20250902,3,875,12,TKT-000050,Low,connectivity,46.19,True,4
51,20250328,,2,11,8,TKT-000051,Medium,navigation,,False,
52,20251005,20251008,2,733,10,TKT-000052,Low,battery,84.8,True,5
53,20250415,,5,614,7,TKT-000053,Medium,navigation,,False,
54,20260520,20260520,3,526,6,TKT-000054,High,navigation,7.75,True,4
55,20251012,20251013,2,562,13,TKT-000055,Medium,connectivity,47.93,True,5
56,20260219,20260222,2,907,13,TKT-000056,Medium,battery,93.51,True,3
57,20240817,,5,364,13,TKT-000057,Medium,mechanical,,False,
58,20240815,20240815,2,416,11,TKT-000058,High,software,13.21,True,5
59,20260405,20260405,3,169,12,TKT-000059,Medium,software,12.78,True,5
60,20251220,20251220,5,846,6,TKT-000060,High,software,20.74,True,4
61,20250721,20250721,5,467,14,TKT-000061,High,navigation,15.8,True,5
62,20260524,20260531,5,13,5,TKT-000062,Low,software,171.3,True,5
63,20260328,20260329,3,858,1,TKT-000063,Medium,navigation,41.48,True,3
64,20251013,20251014,3,68,10,TKT-000064,High,battery,24.1,True,3
65,20251218,20251218,1,542,3,TKT-000065,Critical,battery,8.67,True,5
66,20250215,20250217,3,459,8,TKT-000066,Medium,battery,58.92,True,3
67,20241016,20241016,4,371,5,TKT-000067,High,mechanical,14.52,True,4
68,20250829,,2,675,12,TKT-000068,Medium,mechanical,,False,
69,20250606,20250606,5,674,11,TKT-000069,Critical,mechanical,8.96,True,4
70,20250406,20250408,2,773,8,TKT-000070,Low,software,71.43,True,5
71,20250326,20250326,1,108,13,TKT-000071,Critical,mechanical,6.16,True,4
72,20260128,20260129,3,919,13,TKT-000072,Medium,navigation,26.31,True,5
73,20241225,20241229,3,398,11,TKT-000073,Medium,software,99.01,True,2
74,20250415,20250416,4,340,7,TKT-000074,High,connectivity,35.36,True,4
75,20241220,20241221,4,144,2,TKT-000075,Medium,navigation,41.87,True,3
76,20251212,20251213,4,818,14,TKT-000076,Medium,software,28.44,True,5
77,20260121,20260125,3,228,13,TKT-000077,Low,battery,110.82,True,5
78,20250506,20250507,4,926,12,TKT-000078,Medium,software,38.17,True,5
79,20250127,20250127,4,591,2,TKT-000079,Medium,software,16.9,True,1
80,20251007,20251009,5,761,5,TKT-000080,Medium,battery,52.71,True,4
81,20250303,,2,552,3,TKT-000081,Medium,battery,,False,
82,20260522,20260523,4,528,9,TKT-000082,Medium,software,27.0,True,3
83,20250115,20250116,4,462,4,TKT-000083,Low,navigation,37.39,True,4
84,20241230,20250101,2,273,10,TKT-000084,Low,software,69.32,True,4
85,20250115,,1,441,6,TKT-000085,Medium,navigation,,False,
86,20250102,20250102,5,973,13,TKT-000086,Critical,connectivity,6.15,True,5
87,20250517,20250517,4,219,13,TKT-000087,High,navigation,1.92,True,3
88,20250327,20250327,4,992,2,TKT-000088,Medium,connectivity,20.32,True,3
89,20260203,,2,763,2,TKT-000089,Low,battery,,False,
90,20250424,20250424,1,77,10,TKT-000090,High,mechanical,11.97,True,4
91,20260428,,4,526,6,TKT-000091,Low,connectivity,,False,
92,20250311,20250312,4,384,6,TKT-000092,High,mechanical,29.4,True,5
93,20240807,20240808,3,810,5,TKT-000093,High,connectivity,26.4,True,4
94,20241012,20241013,5,340,7,TKT-000094,High,navigation,25.21,True,2
95,20250531,20250601,3,174,14,TKT-000095,High,software,25.86,True,5
96,20250620,20250620,3,356,6,TKT-000096,Medium,software,11.46,True,2
97,20250430,,5,870,11,TKT-000097,Medium,navigation,,False,
98,20260213,20260213,5,348,3,TKT-000098,High,navigation,14.73,True,4
99,20260503,20260505,3,62,3,TKT-000099,Medium,software,49.01,True,5
100,20240622,20240624,2,156,10,TKT-000100,Medium,battery,66.76,True,3
101,20250120,20250122,1,626,6,TKT-000101,Medium,connectivity,50.33,True,3
102,20260216,20260224,3,368,11,TKT-000102,Low,software,197.23,True,3
103,20250103,20250103,1,846,6,TKT-000103,High,software,17.24,True,5
104,20241019,20241020,5,19,13,TKT-000104,High,mechanical,41.06,True,5
105,20251203,20251203,4,678,3,TKT-000105,High,software,20.55,True,5
106,20251122,,3,191,8,TKT-000106,Medium,battery,,False,
107,20250224,20250226,3,196,3,TKT-000107,Medium,navigation,65.68,True,5
108,20260204,20260207,3,668,10,TKT-000108,Medium,mechanical,74.56,True,3
109,20241203,20241204,2,440,12,TKT-000109,High,mechanical,28.55,True,4
110,20240723,20240726,4,196,3,TKT-000110,Low,software,81.95,True,4
111,20250617,20250619,2,992,2,TKT-000111,Medium,battery,65.8,True,5
112,20260522,20260522,3,175,3,TKT-000112,Medium,connectivity,12.67,True,5
113,20240621,,5,718,10,TKT-000113,Medium,software,,False,
114,20240906,20240909,1,580,2,TKT-000114,Medium,connectivity,94.18,True,5
115,20250323,20250324,2,216,14,TKT-000115,Medium,navigation,41.19,True,4
116,20250125,20250128,2,289,10,TKT-000116,Low,navigation,95.65,True,5
117,20251121,20251123,3,4,8,TKT-000117,Medium,mechanical,71.77,True,2
118,20250902,20250902,4,978,3,TKT-000118,High,battery,22.09,True,5
119,20250425,20250429,4,54,11,TKT-000119,Low,battery,110.43,True,4
120,20251114,,3,185,1,TKT-000120,Low,software,,False,
121,20240929,20240930,3,910,14,TKT-000121,Medium,connectivity,43.81,True,1
122,20260309,20260311,4,454,7,TKT-000122,Medium,navigation,68.42,True,5
123,20260313,20260313,5,902,3,TKT-000123,Critical,software,12.85,True,1
