date,product,vertical,active_robots,avg_uptime_hours,errors,avg_distance_km
2024-06-01,Senpai,education,1,7.41,0.0,11.49
2024-06-02,Senpai,education,1,11.88,0.0,2.06
2024-06-03,Senpai,education,1,8.0,0.0,14.42
2024-06-04,Aido Humanoid,humanoid,1,14.59,1.0,4.5
2024-06-04,Senpai,education,1,17.81,0.0,16.6
2024-06-05,Aido Humanoid,humanoid,1,21.98,0.0,17.9
2024-06-05,Aido Rover,outdoor_patrol,1,7.06,2.0,18.41
2024-06-05,Senpai,education,1,22.63,0.0,1.09
2024-06-05,Sentinel Prime AI,indoor_security,1,18.65,1.0,24.56
2024-06-06,Aido Humanoid,humanoid,1,21.29,0.0,6.27
2024-06-06,Aido Rover,outdoor_patrol,1,21.5,0.0,4.64
2024-06-06,Senpai,education,1,12.47,0.0,3.49
2024-06-06,Sentinel Prime AI,indoor_security,1,11.97,1.0,13.28
2024-06-07,Aido Humanoid,humanoid,1,15.93,1.0,6.58
2024-06-07,Aido Rover,outdoor_patrol,2,19.62,1.0,18.68
2024-06-07,Senpai,education,1,23.38,0.0,5.2
2024-06-07,Sentinel Prime AI,indoor_security,1,11.54,1.0,0.75
2024-06-08,Aido Humanoid,humanoid,2,14.65,0.0,10.73
2024-06-08,Aido Rover,outdoor_patrol,2,14.06,0.0,11.02
2024-06-08,Senpai,education,1,11.13,0.0,12.68
2024-06-08,Sentinel Prime AI,indoor_security,1,22.55,1.0,17.05
2024-06-09,Aido Humanoid,humanoid,2,15.62,1.0,23.38
2024-06-09,Aido Rover,outdoor_patrol,2,11.31,2.0,13.9
2024-06-09,Senpai,education,1,8.21,2.0,15.65
2024-06-09,Sentinel Prime AI,indoor_security,1,14.79,0.0,19.43
2024-06-10,Aido Humanoid,humanoid,2,20.28,9.0,21.12
2024-06-10,Aido Rover,outdoor_patrol,3,11.12,1.0,12.13
2024-06-10,Senpai,education,1,11.07,5.0,8.31
2024-06-10,Sentinel Prime AI,indoor_security,1,22.72,1.0,0.61
2024-06-11,Aido Humanoid,humanoid,2,20.84,8.0,17.18
2024-06-11,Aido Rover,outdoor_patrol,3,18.27,4.0,17.51
2024-06-11,Fari,eldercare,1,12.86,2.0,3.89
2024-06-11,Senpai,education,1,6.19,0.0,24.26
2024-06-11,Sentinel Prime AI,indoor_security,1,10.18,1.0,9.59
2024-06-12,Aido Humanoid,humanoid,2,9.82,2.0,9.39
2024-06-12,Aido Rover,outdoor_patrol,3,15.81,0.0,12.72
2024-06-12,Fari,eldercare,1,9.5,3.0,2.89
2024-06-12,Senpai,education,1,7.18,0.0,8.05
2024-06-12,Sentinel Prime AI,indoor_security,2,12.27,0.0,7.21
2024-06-13,Aido Humanoid,humanoid,3,9.33,0.0,8.2
2024-06-13,Aido Rover,outdoor_patrol,3,12.23,0.0,11.99
2024-06-13,Fari,eldercare,1,12.7,0.0,4.13
2024-06-13,Senpai,education,1,22.13,0.0,11.41
2024-06-13,Sentinel Prime AI,indoor_security,2,19.54,0.0,17.43
2024-06-14,Aido Humanoid,humanoid,3,16.96,0.0,13.14
2024-06-14,Aido Rover,outdoor_patrol,3,12.39,4.0,11.25
2024-06-14,Fari,eldercare,1,19.34,5.0,2.71
2024-06-14,Senpai,education,1,12.88,0.0,16.9
2024-06-14,Sentinel Prime AI,indoor_security,2,7.47,1.0,14.42
2024-06-15,Aido Humanoid,humanoid,3,9.79,0.0,14.94
2024-06-15,Aido Rover,outdoor_patrol,3,14.75,2.0,19.54
2024-06-15,Fari,eldercare,1,17.34,0.0,12.58
2024-06-15,Senpai,education,1,14.32,1.0,6.39
2024-06-15,Sentinel Prime AI,indoor_security,2,12.22,4.0,15.94
2024-06-16,Aido Humanoid,humanoid,3,15.65,0.0,8.44
2024-06-16,Aido Rover,outdoor_patrol,4,12.81,3.0,13.4
2024-06-16,Fari,eldercare,1,11.75,0.0,7.68
2024-06-16,Senpai,education,1,8.47,0.0,13.04
2024-06-16,Sentinel Prime AI,indoor_security,2,20.96,0.0,10.83
2024-06-17,Aido Humanoid,humanoid,3,18.18,5.0,10.24
2024-06-17,Aido Rover,outdoor_patrol,4,13.96,6.0,18.15
2024-06-17,Fari,eldercare,1,9.51,0.0,3.26
2024-06-17,Senpai,education,1,8.33,0.0,20.5
2024-06-17,Sentinel Prime AI,indoor_security,3,15.48,10.0,5.76
2024-06-18,Aido Humanoid,humanoid,3,13.29,0.0,15.64
2024-06-18,Aido Rover,outdoor_patrol,4,19.24,1.0,13.2
2024-06-18,Fari,eldercare,1,14.54,0.0,12.04
2024-06-18,Senpai,education,1,15.96,8.0,16.9
2024-06-18,Sentinel Prime AI,indoor_security,3,14.89,1.0,13.2
2024-06-19,Aido Humanoid,humanoid,3,13.56,9.0,9.72
2024-06-19,Aido Rover,outdoor_patrol,4,13.99,12.0,17.25
2024-06-19,Fari,eldercare,1,23.08,0.0,1.03
2024-06-19,Senpai,education,1,11.4,0.0,19.26
2024-06-19,Sentinel Prime AI,indoor_security,3,13.75,5.0,12.89
2024-06-20,Aido Humanoid,humanoid,3,9.62,6.0,3.99
2024-06-20,Aido Rover,outdoor_patrol,4,15.46,2.0,17.02
2024-06-20,Fari,eldercare,1,18.45,0.0,7.41
2024-06-20,Senpai,education,1,16.76,8.0,16.21
2024-06-20,Sentinel Prime AI,indoor_security,3,14.8,8.0,9.87
2024-06-21,Aido Humanoid,humanoid,3,18.52,0.0,12.19
2024-06-21,Aido Rover,outdoor_patrol,3,8.02,0.0,11.43
2024-06-21,Fari,eldercare,1,13.97,0.0,0.98
2024-06-21,Senpai,education,1,8.07,0.0,11.74
2024-06-21,Sentinel Prime AI,indoor_security,3,14.28,2.0,19.86
2024-06-22,Aido Humanoid,humanoid,1,12.73,0.0,4.84
2024-06-22,Aido Rover,outdoor_patrol,4,17.33,1.0,13.25
2024-06-22,Senpai,education,1,17.17,0.0,2.46
2024-06-22,Sentinel Prime AI,indoor_security,3,18.77,5.0,12.18
2024-06-23,Aido Humanoid,humanoid,3,15.96,2.0,10.42
2024-06-23,Aido Rover,outdoor_patrol,4,19.1,0.0,16.08
2024-06-23,Fari,eldercare,1,10.55,2.0,22.43
2024-06-23,Senpai,education,1,17.97,0.0,2.45
2024-06-23,Sentinel Prime AI,indoor_security,1,23.39,3.0,17.5
2024-06-24,Aido Humanoid,humanoid,4,20.34,0.0,10.58
2024-06-24,Aido Rover,outdoor_patrol,4,9.78,10.0,16.94
2024-06-24,Fari,eldercare,2,9.43,3.0,11.29
2024-06-24,Senpai,education,1,21.57,1.0,24.26
2024-06-24,Sentinel Prime AI,indoor_security,3,15.47,1.0,11.85
2024-06-25,Aido Humanoid,humanoid,4,15.16,9.0,15.81
2024-06-25,Aido Rover,outdoor_patrol,4,12.78,2.0,15.72
2024-06-25,Fari,eldercare,2,12.41,2.0,5.26
2024-06-25,Senpai,education,2,12.97,0.0,20.97
2024-06-25,Sentinel Prime AI,indoor_security,3,17.51,0.0,12.23
2024-06-26,Aido Humanoid,humanoid,4,16.27,1.0,13.13
2024-06-26,Aido Rover,outdoor_patrol,2,18.54,2.0,12.29
2024-06-26,Fari,eldercare,1,13.5,0.0,9.83
2024-06-26,Senpai,education,2,21.2,0.0,18.65
2024-06-26,Sentinel Prime AI,indoor_security,3,17.55,0.0,8.83
2024-06-27,Aido Humanoid,humanoid,4,14.79,6.0,15.0
2024-06-27,Aido Rover,outdoor_patrol,4,15.1,5.0,13.88
2024-06-27,Fari,eldercare,2,12.16,0.0,15.03
2024-06-27,Senpai,education,2,14.1,0.0,20.76
2024-06-27,Sentinel Prime AI,indoor_security,2,11.83,2.0,11.12
2024-06-28,Aido Humanoid,humanoid,4,15.65,3.0,12.4
2024-06-28,Aido Rover,outdoor_patrol,3,15.09,1.0,11.06
2024-06-28,Fari,eldercare,2,9.1,2.0,16.81
2024-06-28,Senpai,education,2,14.5,1.0,8.15
2024-06-28,Sentinel Prime AI,indoor_security,3,12.49,5.0,5.09
2024-06-29,Aido Humanoid,humanoid,3,16.87,0.0,13.32
2024-06-29,Aido Rover,outdoor_patrol,4,16.98,5.0,17.39
2024-06-29,Fari,eldercare,2,15.44,3.0,3.17
2024-06-29,Senpai,education,2,10.71,1.0,16.71
2024-06-29,Sentinel Prime AI,indoor_security,3,14.14,14.0,11.67
2024-06-30,Aido Humanoid,humanoid,5,17.98,10.0,11.25
2024-06-30,Aido Rover,outdoor_patrol,4,14.14,0.0,13.67
2024-06-30,Fari,eldercare,2,8.41,1.0,9.04
2024-06-30,Senpai,education,2,17.3,1.0,4.8
2024-06-30,Sentinel Prime AI,indoor_security,3,15.3,3.0,17.49
2024-07-01,Aido Humanoid,humanoid,5,19.02,3.0,17.29
2024-07-01,Aido Rover,outdoor_patrol,4,21.55,4.0,10.6
2024-07-01,Fari,eldercare,2,8.25,1.0,8.54
2024-07-01,Senpai,education,2,19.12,0.0,16.5
2024-07-01,Sentinel Prime AI,indoor_security,3,14.85,6.0,16.2
2024-07-02,Aido Humanoid,humanoid,7,16.83,2.0,10.88
2024-07-02,Aido Rover,outdoor_patrol,4,12.2,15.0,13.46
2024-07-02,Fari,eldercare,1,6.47,0.0,13.22
2024-07-02,Senpai,education,2,16.37,1.0,7.22
2024-07-02,Sentinel Prime AI,indoor_security,3,15.27,1.0,12.77
2024-07-03,Aido Humanoid,humanoid,7,13.29,8.0,13.14
2024-07-03,Aido Rover,outdoor_patrol,4,13.88,2.0,9.05
2024-07-03,Fari,eldercare,2,16.18,1.0,13.35
2024-07-03,Senpai,education,2,9.9,5.0,12.92
2024-07-03,Sentinel Prime AI,indoor_security,3,9.2,1.0,16.4
2024-07-04,Aido Humanoid,humanoid,7,15.84,7.0,15.03
2024-07-04,Aido Rover,outdoor_patrol,4,11.62,11.0,14.21
2024-07-04,Fari,eldercare,2,14.54,0.0,14.58
2024-07-04,Senpai,education,2,8.1,8.0,7.39
2024-07-04,Sentinel Prime AI,indoor_security,3,15.98,11.0,9.73
2024-07-05,Aido Humanoid,humanoid,6,13.93,10.0,16.73
2024-07-05,Aido Rover,outdoor_patrol,4,17.49,0.0,12.17
2024-07-05,Fari,eldercare,2,19.71,0.0,12.09
2024-07-05,Senpai,education,2,15.54,1.0,6.31
2024-07-05,Sentinel Prime AI,indoor_security,3,17.75,2.0,12.36
2024-07-06,Aido Humanoid,humanoid,8,13.04,1.0,17.08
2024-07-06,Aido Rover,outdoor_patrol,3,15.15,2.0,9.17
2024-07-06,Fari,eldercare,2,17.23,0.0,13.98
2024-07-06,Senpai,education,3,10.6,6.0,12.02
