vertical,product,signal_type,date,value,source
eldercare,Fari,news_volume,2024-07,162.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2024-08,156.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2024-09,161.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2024-10,149.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2024-11,164.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2024-12,146.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-01,146.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-02,149.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-03,155.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-04,165.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-05,167.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-06,164.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-07,181.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-08,174.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-09,172.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-10,167.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-11,184.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2025-12,184.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2026-01,169.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2026-02,188.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2026-03,181.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2026-04,200.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2026-05,203.0,GDELT DOC 2.0 API
eldercare,Fari,news_volume,2026-06,193.0,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2024-07,-1.35,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2024-08,-1.6,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2024-09,-0.31,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2024-10,-1.03,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2024-11,-2.29,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2024-12,-2.15,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2025-01,-0.22,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2025-02,-1.59,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2025-03,-0.65,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2025-04,-0.75,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2025-05,-1.86,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2025-06,-1.97,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2025-07,-2.03,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2025-08,-0.85,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2025-09,-1.26,GDELT DOC 2.0 API
eldercare,Fari,news_tone,2025-10,-0.18,GDELT DOC 2.0 API
